# Simple shapes — single-component geometric primitives
# NOT present in or similar to anything in the RAG knowledge base (final-shape-list)
# Two active items for initial code test; remaining 8 are commented out.
# One prompt per line. Lines starting with # are ignored by the runner.

a parallelogram with two pairs of parallel sides tilted at approximately 30 degrees, filled in dark color
a right-pointing chevron arrow formed by two diagonal lines meeting at a sharp point, filled in dark color

# a trapezoid with two parallel horizontal edges and two angled non-parallel sides, filled in dark color
# a lemniscate or figure-eight curve lying horizontally with two lobes of equal size, drawn in dark color
# an annular sector resembling a thick pie slice cut from a circular ring, filled in dark color
# a hexagram composed of two overlapping equilateral triangles forming a six-pointed star, filled in dark color
# a scalene triangle with three sides all of different lengths and no right angle, filled in dark color
# a squircle that blends smoothly between a square and a circle, filled in dark color
# a filled arrowhead pointing upward with a wide head and short tail, filled in dark color
# two nested right-pointing chevrons forming a double-chevron shape, filled in dark color
